ORD;DRG;RTC;ICD;MDC;PDGPROP;OR;PROCPRO1;DGCAT1;AGELIM;COMPL;SEX;DGPROP1;DGPROP2;DGPROP3;DGPROP4;SECPROC1;DISCH;DUR;LOC_DRG
100D50249;U51O;0;+;;00P21;S;21S03;;;;;24X71;21X01;24X81;21X02;;N;<1;486O
100D50250;U51O;0;+;;00P21;S;21S03;;;;;24X72;21X03;24X81;21X02;;N;<1;486O
100D50251;U51O;0;+;;00P21;S;21S03;;;;;24X90;;;;;N;<1;486O
100D50300;U51O;0;+;;00P21;S;21S09;;;;;24X10;24X20;;;;N;<1;486O
100D50301;U51O;0;+;;00P21;S;21S09;;;;;24X10;24X30;;;;N;<1;486O
100D50302;U51O;0;+;;00P21;S;21S09;;;;;24X10;24X40;;;;N;<1;486O
100D50303;U51O;0;+;;00P21;S;21S09;;;;;24X10;24X50;;;;N;<1;486O
100D50304;U51O;0;+;;00P21;S;21S09;;;;;24X10;24X60;;;;N;<1;486O
100D50305;U51O;0;+;;00P21;S;21S09;;;;;24X10;24X70;;;;N;<1;486O
100D50306;U51O;0;+;;00P21;S;21S09;;;;;24X10;24X71;21X01;;;N;<1;486O
100D50307;U51O;0;+;;00P21;S;21S09;;;;;24X10;24X72;21X03;;;N;<1;486O
100D50308;U51O;0;+;;00P21;S;21S09;;;;;24X10;24X80;;;;N;<1;486O
100D50309;U51O;0;+;;00P21;S;21S09;;;;;24X10;24X81;21X02;;;N;<1;486O
100D50310;U51O;0;+;;00P21;S;21S09;;;;;24X20;24X30;;;;N;<1;486O
100D50311;U51O;0;+;;00P21;S;21S09;;;;;24X20;24X40;;;;N;<1;486O
100D50312;U51O;0;+;;00P21;S;21S09;;;;;24X20;24X50;;;;N;<1;486O
100D50313;U51O;0;+;;00P21;S;21S09;;;;;24X20;24X60;;;;N;<1;486O
100D50314;U51O;0;+;;00P21;S;21S09;;;;;24X20;24X70;;;;N;<1;486O
100D50315;U51O;0;+;;00P21;S;21S09;;;;;24X20;24X71;21X01;;;N;<1;486O
100D50316;U51O;0;+;;00P21;S;21S09;;;;;24X20;24X72;21X03;;;N;<1;486O
100D50317;U51O;0;+;;00P21;S;21S09;;;;;24X20;24X80;;;;N;<1;486O
100D50318;U51O;0;+;;00P21;S;21S09;;;;;24X20;24X81;21X02;;;N;<1;486O
100D50319;U51O;0;+;;00P21;S;21S09;;;;;24X30;24X40;;;;N;<1;486O
100D50320;U51O;0;+;;00P21;S;21S09;;;;;24X30;24X50;;;;N;<1;486O
100D50321;U51O;0;+;;00P21;S;21S09;;;;;24X30;24X60;;;;N;<1;486O
100D50322;U51O;0;+;;00P21;S;21S09;;;;;24X30;24X70;;;;N;<1;486O
100D50323;U51O;0;+;;00P21;S;21S09;;;;;24X30;24X71;21X01;;;N;<1;486O
100D50324;U51O;0;+;;00P21;S;21S09;;;;;24X30;24X72;21X03;;;N;<1;486O
100D50325;U51O;0;+;;00P21;S;21S09;;;;;24X30;24X80;;;;N;<1;486O
100D50326;U51O;0;+;;00P21;S;21S09;;;;;24X30;24X81;21X02;;;N;<1;486O
100D50327;U51O;0;+;;00P21;S;21S09;;;;;24X40;24X50;;;;N;<1;486O
100D50328;U51O;0;+;;00P21;S;21S09;;;;;24X40;24X60;;;;N;<1;486O
100D50329;U51O;0;+;;00P21;S;21S09;;;;;24X40;24X70;;;;N;<1;486O
100D50330;U51O;0;+;;00P21;S;21S09;;;;;24X40;24X71;21X01;;;N;<1;486O
100D50331;U51O;0;+;;00P21;S;21S09;;;;;24X40;24X72;21X03;;;N;<1;486O
100D50332;U51O;0;+;;00P21;S;21S09;;;;;24X40;24X80;;;;N;<1;486O
100D50333;U51O;0;+;;00P21;S;21S09;;;;;24X40;24X81;21X02;;;N;<1;486O
100D50334;U51O;0;+;;00P21;S;21S09;;;;;24X50;24X60;;;;N;<1;486O
100D50335;U51O;0;+;;00P21;S;21S09;;;;;24X50;24X70;;;;N;<1;486O
100D50336;U51O;0;+;;00P21;S;21S09;;;;;24X50;24X71;21X01;;;N;<1;486O
100D50337;U51O;0;+;;00P21;S;21S09;;;;;24X50;24X72;21X03;;;N;<1;486O
100D50338;U51O;0;+;;00P21;S;21S09;;;;;24X50;24X80;;;;N;<1;486O
100D50339;U51O;0;+;;00P21;S;21S09;;;;;24X50;24X81;21X02;;;N;<1;486O
100D50340;U51O;0;+;;00P21;S;21S09;;;;;24X60;24X70;;;;N;<1;486O
100D50341;U51O;0;+;;00P21;S;21S09;;;;;24X60;24X71;21X01;;;N;<1;486O
100D50342;U51O;0;+;;00P21;S;21S09;;;;;24X60;24X72;21X03;;;N;<1;486O
100D50343;U51O;0;+;;00P21;S;21S09;;;;;24X60;24X80;;;;N;<1;486O
100D50344;U51O;0;+;;00P21;S;21S09;;;;;24X60;24X81;21X02;;;N;<1;486O
100D50345;U51O;0;+;;00P21;S;21S09;;;;;24X70;24X80;;;;N;<1;486O
100D50346;U51O;0;+;;00P21;S;21S09;;;;;24X71;21X01;24X80;;;N;<1;486O
100D50347;U51O;0;+;;00P21;S;21S09;;;;;24X72;21X03;24X80;;;N;<1;486O
100D50348;U51O;0;+;;00P21;S;21S09;;;;;24X70;24X81;21X02;;;N;<1;486O
100D50349;U51O;0;+;;00P21;S;21S09;;;;;24X71;21X01;24X81;21X02;;N;<1;486O
100D50350;U51O;0;+;;00P21;S;21S09;;;;;24X72;21X03;24X81;21X02;;N;<1;486O
100D50351;U51O;0;+;;00P21;S;21S09;;;;;24X90;;;;;N;<1;486O
100D6000;S01O;0;+;;18P01;S;;;;;;18X01;;;;;N;<1;415O
100D700010;P01O;0;+;;;S;14S01;;;;F;;;;;;N;<1;371O
100D700020;P10O;0;+;14;;S;14S11;14M03;;;F;;;;;;N;<1;378O
100D700030;P06O;0;+;;;S;14S02;;;;F;14X03;;;;;N;<1;375O
100D700033;P06O;0;+;;;S;14S03;;;;F;14X03;;;;;N;<1;375O
100D700050;P05O;0;+;;;S;14S04;;;;F;14X03;;;;-14S90;N;<1;373O
100D700053;P05O;0;+;;;N;;;;;F;14X03;;;;;N;<1;373O
100D70101;P22O;0;+;14;;S;14S05;;;;F;;;;;;N;<1;381O
100D70104;P23O;0;+;14;;;;;;;F;14X31;;;;;N;<1;814P
100D701633;F72O;0;+;13;;P;14E11;;;;F;14X01;;;;;N;<1;711O
100D70905;F72O;0;+;14;;P;14E11;14M03;;;F;;;;;;N;<1;711O
101D010;A16O;0;+;01;;S;01S50;;;;;;;;;;N;<1;003P
101D011;A15O;0;+;01;;S;01S01;;;;;;;;;;N;<1;003O
101D012;A15O;0;+;01;;S;01S29;;;;;;;;;;N;<1;003O
101D013;A15O;0;+;01;;S;01S27;;;;;;;;;;N;<1;003O
101D040;A25O;0;+;01;;S;01S02;;;;;;;;;;N;<1;004O
101D050;A28O;0;+;01;;S;01S03;;;;;;;;;;N;<1;005O
101D051;A28O;0;+;;01P05;S;01S03;;;;;;;;;;N;<1;005O
101D059;A20O;0;+;01;;S;01S51;;;;;;;;;;N;<1;570O
101D060;A29O;0;+;01;01P04;S;01S04;;;;;;;;;;N;<1;006O
101D0701;A35O;0;+;01;;S;01S04;;;;;;;;;;N;<1;008O
101D0702;A35O;0;+;01;;S;01S05;;;;;;;;;;N;<1;008O
101D0703;A35O;0;+;;01P05;S;01S05;;;;;;;;;;N;<1;008O
102D0100;B09O;0;+;02;;S;02S01;;;;;;;;;;N;<1;037O
102D020;B20O;0;+;02;;S;02S04;;;;;02X02;;;;;N;<1;042O
102D030;B04O;0;+;02;;S;02S02;;;;;;;;;;N;<1;036O
102D031;B04O;0;+;02;;S;02S07;;;;;02X03;;;;;N;<1;036O
102D032;B04O;0;+;;02P02;S;02S02;;;;;;;;;;N;<1;036O
102D040;B20O;0;+;02;;S;02S04;;;;;;;;;;N;<1;042O
102D041;B20O;0;+;02;;S;02S07;;;;;;;;;;N;<1;042O
102D060;B11O;0;+;02;;S;02S06;;;;;;;;;;N;<1;038O
102D07100;B15O;0;+;02;;S;02S03;;;;;;;;;;N;<1;041O
103D00000;C02N;0;+;03;;S;03S24;;;;;;;;;;;;049B
103D00010;C17O;0;+;03;;S;03S23;03M10;;;;;;;;;N;<1;521O
103D0010;C15O;0;+;03;;S;03S01;;;;;;;;;;N;<1;055O
103D0031;C15O;0;+;03;;S;03S14;;;;;03X04;;;;;N;<1;055O
103D03010;C15O;0;+;03;;S;03S04;;;;;;;;;;N;<1;055O
103D0341;C15O;0;+;03;;S;03S10;;;;;;;;;;N;<1;055O
103D0900;C13O;0;+;03;;S;03S22;;;;;;;;;;N;<1;054P
103D0901;C10O;0;+;03;;S;03S06;;;;;;;;;;N;<1;054O
103D1000;C18O;0;+;03;;S;03S07;;;;;;;;;;N;<1;056O
103D103;C15O;0;+;03;;S;03S08;;;;;;;;;;N;<1;055O
103D110;C08O;0;+;03;;S;03S09;;;;;;;;;;N;<1;051O
103D1211;C22O;0;+;03;;S;03S11;;;;;;;;;;N;<1;060O
103D15100;C22O;0;+;03;;S;03S03;;;;;;;;;;N;<1;060O
103D15900;C50O;0;+;03;;S;03S05;;;;;;;;;;N;<1;169O
103D1630;C16O;0;+;03;;S;03S99;;;;;;;;;;N;<1;055P
103D17001;F65O;0;+;03;;P;03E03;;;;;;;;;;N;<1;703O
103D17002;C29O;0;+;03;;P;03E20;;;;;;;;;;N;<1;063O
103D1701;F67O;0;+;03;;P;03E06;;;;;;;;;;N;<1;706O
103D17020;D70O;0;+;03;;P;03E02;;;;;;;;;;N;<1;702O
103D17021;F72O;0;+;03;;P;03E11;;;;;;;;;;N;<1;711O
103D17022;C70O;0;+;03;;P;03E01;;;;;;;;;;N;<1;701O
103D179899;C56O;0;+;03;;;03S13;;;;;;;;;;N;<1;187O
104D010;D10O;0;+;04;;S;04S01;;;;;;;;;;N;<1;075O
104D020;D19O;0;+;04;;S;04S02;;;;;;;;;;N;<1;077O
104D030;D22O;0;+;04;;;04S03;;;;;;;;;;N;<1;475O
104D031;D22O;0;+;04;;;04S04;;;;;;;;;;N;<1;475O
405D100000;E25N;0;+;05;;S;05S40;;;;;;;;;;;;
106D0900;F25O;0;+;06;;S;06S08;;;;;99X04;;;;;N;<1;
405D11015;E16N;0;+;05;;;05S16;;;;;;;;;;;;
104D0402;D70O;0;+;04;;P;04E02;;;;;;;;;;N;<1;702O
105D001;E01O;0;+;05;;S;05S01;;;;;;;;;;N;<1;103O
105D0210;E05O;0;+;05;;S;05S02;;;;;;;;;;N;<1;104O
105D0410;E15O;0;+;05;;S;05S06;;;;;;;;;;N;<1;108O
105D0411;E15O;0;+;05;;S;05S07;;;;;;;;;05S08;N;<1;108O
105D0413;E15O;0;+;05;;S;05S22;;;;;;;;;05S21;N;<1;108O
105D0600;E07O;0;+;05;;S;05S09;;;;;;;;;;N;<1;107O
105D0701;E10O;0;+;05;;S;05S07;;;;;;;;;;N;<1;111O
105D0702;E10O;0;+;05;;S;05S08;;;;;;;;;;N;<1;111O
105D0703;E10O;0;+;05;;S;05S11;;;;;;;;;;N;<1;111O
105D0704;E10O;0;+;05;;S;05S22;;;;;;;;;;N;<1;111O
105D090;E20O;0;+;05;;S;05S12;;;;;;;;;;N;<1;113O
105D11010;E28O;0;+;05;;S;05S40;;;;;;;;;;N;<1;115O
105D11011;E28O;0;+;05;;S;05S41;;;;;;;;;;N;<1;115O
105D11120;E28O;0;+;05;;S;05S42;;;;;;;;;;N;<1;115O
105D12000;E19O;0;+;05;;;05S25;;;;;;;;;;N;<1;112O
105D12001;E19O;0;+;05;;;05S20;;;;;;;;;;N;<1;112O
105D12002;E19O;0;+;05;;;05S16;;;;;;;;;;N;<1;112O
105D13000;E30O;0;+;05;;S;05S15;;;;;05X21;;;;;N;<1;119O
105D13010;E35O;0;+;05;;S;05S15;;;;;;;;;;N;<1;479O
105D13020;E35O;0;+;;05P02;S;05S15;;;;;;;;;;N;<1;479O
105D150;E21O;0;+;05;;S;05S17;;;;;;;;;;N;<1;114O
105D180;E30O;0;+;05;;S;05S18;;;;;;;;;;N;<1;119O
105D1910;Z60O;0;+;05;;S;05S21;;;;;;;;;;N;<1;477O
105D1950;E39O;0;+;05;;P;05S19;;;;;;;;;;N;<1;120O
105D2300;E45O;0;+;05;;;05S05;;;;;;;;;;N;<1;125O
106D0110;F13O;0;+;06;;S;06S01;;;;;;;;;;N;<1;156O
106D0210;F01O;0;+;06;;S;06S03;;;;;;;;;;N;<1;147O
106D0310;F05O;0;+;06;;S;06S02;;;;;;;;;;N;<1;149O
106D0410;F07O;0;+;06;;S;06S04;;;;;;;;;;N;<1;151O
106D05109;F09O;0;+;06;;S;06S06;;;;;;;;;;N;<1;153O
106D05110;F30O;0;+;06;;S;06S05;;;;;;;;;;N;<1;167O
106D07100;F15O;0;+;06;;S;06S07;;;;;;;;;;N;<1;158O
106D0800;F20O;0;+;06;;S;06S09;;;;;;;;;;N;<1;160O
106D0910;F24O;0;+;06;;S;06S08;;;;;;;;;;N;<1;162O
405D11014;E17N;0;+;05;;;05S20;;;;;;;;;;;;
106D1100;F35O;0;+;06;;S;06S10;;;;;;;;;;N;<1;171O
106D1101;F35O;0;+;06;;S;06S20;;;;;06X06;;;;;N;<1;171O
106D12000;F65O;0;+;06;;P;06E03;;;;;;;;;;N;<1;703O
106D12001;G70O;0;+;06;;P;06E13;;;;;;;;;;N;<1;713O
106D12010;F67O;0;+;06;;P;06E06;;;;;;;;;;N;<1;706O
106D12011;F66O;0;+;06;;P;06E04;;;;;;;;;;N;<1;704O
106D12013;F69O;0;+;06;;P;06E07;;;;;;;;;;N;<1;707O
190D05000;E39O;A;+;;;S;;;;;;05X06;;;;;N;<1;120O
190D06000;F35O;0;+;;;S;06S30;;;;;06X07;;;;;N;<1;171O
190D06001;H44O;0;+;;08P03;S;08S12;;;;;;;;;;N;<1;227O
190D09000;K02O;0;+;;;S;30S03;;;;;30X01;;;;;N;<1;258O
190D09001;K02O;0;+;;;S;30S11;;;;;30X01;;;;;N;<1;258O
190D09030;K04O;0;+;;;S;30S04;;;;;30X01;;;;;N;<1;260O
190D09031;K04O;0;+;;;S;30S05;;;;;30X01;;;;;N;<1;260O
190D10000;L39O;0;+;;;S;08S10;;;;;10X03;;;;;N;<1;293O
190D11000;M29O;0;+;;;S;11S10;;;;;11X02;;;;;N;<1;315O
190D6041;U19O;0;+;;00P21;S;21S04;;;;;;;;;;N;<1;443O
199D0000;Z50O;7;+;;;S;99S90;;;;;;;;;;N;<1;468O
200D001;R85O;0;;;;;17V01;;;;;;;;;;N;<1;864V
200D003;X10O;0;;;;;40V45;;;;;00X10;;;;;N;<1;865V
200D004;X11O;0;;;;;40V45;;;;;;;;;;N;<1;866V
200D005;X05O;0;;;;;40V04;;;;;;;;;;N;<1;890V
200D006;B79O;0;;;;;02V07;;;;;;;;;;N;<1;762W
200D007;G75O;0;;;;;07V01;;;;;;;;;;N;<1;804V
200D008;O75O;0;;;;;13V01;;;;;;;;;;N;<1;846V
200D009;X12O;0;;;;;40V47;;;;;;;;;40V48;N;<1;867V
200D0100;C82O;0;;;;;03V09;;;;;;;;;;N;<1;774V
200D011;E75O;0;;;;;05V01;;;;;;;;;;N;<1;782V
200D012;O76O;0;;;;;13V02;;;;;;;;;;N;<1;847V
200D013;X13O;0;;;;;40V46;;;;;;;;;;N;<1;869V
200D014;A75O;0;;;;;01V01;;;;;;;;;;N;<1;750V
200D015;P75O;0;;;;;14V01;;;;;;;;;;N;<1;853V
200D016;R75O;0;;;;;16V04;;;;;;;;;01V04;N;<1;859V
200D017;R75O;0;;;;;16V02;;;;;;;;;01V04;N;<1;859V
200D019;E77O;0;;;;;05V03;;;;;;;;;;N;<1;784V
200D020;E76O;0;;;;;05V02;;;;;;;;;;N;<1;783V
200D0211;F75O;0;;;;;06V07;;;;;;;;;;N;<1;797V
200D022;L75O;0;;;;;10V07;;;;;;;;;;N;<1;822V
200D023;R87O;0;;;;;17V08;;;;;;;;;;N;<1;871V
200D024;E79O;0;;;;;05V08;;;;;;;;;05V09;N;<1;786V
200D025;M75O;0;;;;;11V01;;;;;;;;;;N;<1;838V
200D026;R79O;0;;;;;16V02;;;;;;;;;;N;<1;860V
200D027;X14O;0;;;;;40V47;;;;;;;;;;N;<1;872V
200D028;U75O;0;;;;;21V01;;;;;;;;;;N;<1;881V
200D029;X01O;0;;;;;40V01;;;;;;;;;;N;<1;888V
406D1120;F35E;0;+;06;;S;06S10;;;;;;;;;;;;171X
406D1121;F35E;0;+;06;;S;06S20;;;;;06X06;;;;;;;171X
406D113001;F35A;0;+;06;;S;;;;2;;00X10;;;;;;;170M
406D113005;F35C;0;+;06;;S;;;;1;;00X10;;;;;;;170C
406D113009;F35E;0;+;06;;S;;;;;;00X10;;;;;;;171X
406D131100;F39A;0;+;06;;N;;06M02;;2;;;;;;;;;172M
406D131105;F39C;0;+;06;;N;;06M02;;1;;;;;;;;;172C
406D1312;F39E;0;+;06;;N;;06M02;;;;;;;;;;;173X
406D132000;F40A;0;+;06;;N;;06M03;;2;;;;;;;;;174M
406D132001;F40A;0;+;06;;N;;06M04;;2;;;;;;;;;174M
406D132003;F40A;0;+;06;;N;;06M05;;2;;;;;;;;;174M
406D132009;F40C;0;+;06;;N;;06M03;;1;;;;;;;;;174C
406D1400;F40C;0;+;06;;N;;06M04;;;;;;;;;;;174C
406D151008;F40C;0;+;06;;N;;06M05;;;;06X02;;;;;;;174C
406D151009;F40C;0;+;06;;N;;06M05;;1;;;;;;;;;174C
406D152000;F40E;0;+;06;;N;;06M05;;;;;;;;;;;175N
406D152001;F40E;0;+;06;;N;;06M03;;;;;;;;;;;175N
406D160000;F43A;0;+;06;;N;;06M06;;2;;;;;;;;;179M
406D160005;F43C;0;+;06;;N;;06M06;;1;;;;;;;;;179C
406D160009;F43E;0;+;06;;N;;06M06;;;;;;;;;;;179N
406D171;F45C;0;+;06;;N;;06M07;;1;;;;;;;;;180X
406D172;F45E;0;+;06;;N;;06M07;;;;;;;;;;;181X
406D181000;F47A;0;+;06;;N;;06M08;>6574;2;;;;;;;;;182M
406D181005;F47C;0;+;06;;N;;06M08;>6574;1;;;;;;;;;182C
406D182;F47E;0;+;06;;N;;06M08;>6574;;;;;;;;;;183N
406D183005;F49C;0;+;06;;N;;06M08;;1;;;;;;;;;184C
406D184;F49E;0;+;06;;N;;06M08;;;;;;;;;;;184N
406D994000;F59A;0;+;06;;N;;;;2;;;;;;;;;190M
406D994005;F59C;0;+;06;;N;;;;1;;;;;;;;;190C
406D994009;F59E;0;+;06;;N;;;;;;;;;;;;;190N
407D010100;G05A;0;+;07;;S;07S01;;;2;;;;;;;;;192M
407D010105;G05C;0;+;07;;S;07S01;;;1;;;;;;;;;192C
407D0102;G05E;0;+;07;;S;07S01;;;;;;;;;;;;192N
407D020100;G06A;0;+;07;;S;07S05;;;2;;;;;;;;;193M
407D020105;G06C;0;+;07;;S;07S05;;;1;;;;;;;;;193C
407D0202;G06E;0;+;07;;S;07S05;;;;;;;;;;;;194X
407D031005;G10C;0;+;07;;S;07S02;;;1;;;;;;07S03;;;195C
407D031006;G10C;0;+;07;;S;07S02;;;1;;;;;;07S04;;;195C
407D0320;G10E;0;+;07;;S;07S02;;;;;;;;;07S03;;;196X
407D0321;G10E;0;+;07;;S;07S02;;;;;;;;;07S04;;;196X
407D051100;G06A;0;+;07;;S;07S02;;;2;;;;;;;;;193M
407D051105;G06C;0;+;07;;S;07S02;;;1;;;;;;;;;193C
407D0512;G06E;0;+;07;;S;07S02;;;;;;;;;;;;194X
407D061100;G11A;0;+;07;;S;07S03;;;2;;;;;;;;;197M
407D061105;G11C;0;+;07;;S;07S03;;;1;;;;;;;;;197C
407D0612;G11E;0;+;07;;S;07S03;;;;;;;;;;;;198X
407D071100;G12A;0;+;07;;S;07S04;;;2;;;;;;;;;493M
407D071105;G12C;0;+;07;;S;07S04;;;1;;;;;;;;;493C
407D0712;G12E;0;+;07;;S;07S04;;;;;;;;;;;;494X
407D111000;G20A;0;+;07;;S;07S06;07M02;;2;;;;;;;;;199M
407D111009;G20E;0;+;07;;S;07S06;07M02;;;;;;;;;;;199N
407D121000;G21A;0;+;07;;S;07S06;;;2;;;;;;;;;200M
407D121005;G21C;0;+;07;;S;07S06;;;1;;;;;;;;;200C
407D121009;G21E;0;+;07;;S;07S06;;;;;;;;;;;;200N
407D130105;G29C;0;+;07;;S;07S07;;;1;;;;;;;;;201C
407D130106;G29C;0;+;07;;;;;;1;;00X10;;;;;;;201C
407D130108;G29E;0;+;07;;S;07S07;;;;;;;;;;;;201N
407D130109;G29E;0;+;07;;;;;;;;00X10;;;;;;;201N
407D150010;G12A;0;+;07;;;07S08;;;2;;;;;;;;;493M
407D150019;G12C;0;+;07;;;07S08;;;1;;;;;;;;;493C
407D15002;G12E;0;+;07;;;07S08;;;;;;;;;;;;494X
407D160000;G30A;0;+;07;;N;;07M01;;2;;;;;;;;;202M
407D160005;G30C;0;+;07;;N;;07M01;;1;;;;;;;;;202C
407D160009;G30E;0;+;07;;N;;07M01;;;;;;;;;;;202N
407D170000;G33A;0;+;07;;N;;07M02;;2;;;;;;;;;203M
407D170005;G33C;0;+;07;;N;;07M02;;1;;;;;;;;;203C
407D170009;G33E;0;+;07;;N;;07M02;;;;;;;;;;;203N
407D180000;G35A;0;+;07;;N;;07M03;;2;;;;;;;;;204M
407D180005;G35C;0;+;07;;N;;07M03;;1;;;;;;;;;204C
407D180009;G35E;0;+;07;;N;;07M03;;;;;;;;;;;204N
407D190000;G38A;0;+;07;;N;;07M04;;2;;;;;;;;;205M
407D190005;G38C;0;+;07;;N;;07M04;;1;;;;;;;;;205C
407D191;G38E;0;+;07;;N;;07M04;;;;;;;;;;;206X
407D200000;G40A;0;+;07;;N;;;;2;;;;;;;;;207M
106D120131;F68O;0;+;06;;P;06E08;;;;;;;;;;N;<1;707P
106D12014;G71O;0;+;06;;P;06E14;;;;;;;;;;N;<1;714O
106D120500;F70O;0;+;06;;P;06E09;;;;;;;;;;N;<1;709O
106D120501;F74O;0;+;06;;P;06E20;;;;;;;;;;N;<1;720O
106D12051;F74O;0;+;06;;P;06E10;;;;;;;;;06E11;N;<1;720O
106D12052;F71O;0;+;06;;P;06E10;;;;;;;;;;N;<1;710O
106D12053;F72O;0;+;06;;P;06E11;;;;;;;;;;N;<1;711O
106D12054;F73O;0;+;06;;P;06E12;;;;;;;;;;N;<1;712O
106D12056;D70O;0;+;06;;P;04E02;;;;;;;;;;N;<1;702O
107D0100;G05O;0;+;07;;S;07S01;;;;;;;;;;N;<1;192O
107D0200;G13O;0;+;07;;S;07S05;;;;;;;;;;N;<1;494O
107D0510;G13O;0;+;07;;S;07S02;;;;;;;;;;N;<1;494O
107D0610;G13O;0;+;07;;S;07S03;;;;;;;;;;N;<1;494O
107D0710;G13O;0;+;07;;S;07S04;;;;;;;;;;N;<1;494O
107D100;G22O;0;+;07;;S;07S06;;;;;;;;;;N;<1;200O
107D1300;G29O;0;+;07;;S;07S07;;;;;;;;;;N;<1;201O
107D1310;G13O;0;+;07;;S;07S08;;;;;;;;;;N;<1;494O
107D14000;G70O;0;+;07;;P;07E13;;;;;;;;;;N;<1;713O
107D14010;G71O;0;+;07;;P;07E14;;;;;;;;;;N;<1;714O
107D14012;F67O;0;+;07;;P;07E06;;;;;;;;;;N;<1;706O
107D1406;G72O;0;+;07;;P;07E15;;;;;;;;;;N;<1;715O
107D1407;F72O;0;+;07;;P;06E11;;;;;;;;;;N;<1;711O
107D140702;D70O;0;+;07;;P;04E02;;;;;;;;;;N;<1;702O
108D03000;H06O;0;+;08;;S;08S92;;;;;;;;;;N;<1;209O
108D0301;H06O;0;+;08;;S;08S81;;;;;;;;;;N;<1;209O
108D0302;H06O;0;+;08;;S;08S82;;;;;;;;;;N;<1;209O
408D01021;H00N;0;+;08;;S;08S81;;;;;99X04;;;;;;;
108D0303;H06O;0;+;08;;S;08S83;;;;;;;;;;N;<1;209O
108D0400;H43O;0;+;08;;S;08S02;;;;;-08X14;;;;;N;<1;217O
108D0410;H42O;0;+;08;;S;08S04;;;;;;;;;;N;<1;216O
108D0511;H08O;0;+;08;;S;08S71;;;;;;;;;;N;<1;212O
108D0512;H08O;0;+;08;;S;08S43;;;;;08X20;;;;;N;<1;212O
108D080;H09O;0;+;08;;S;08S06;;;;;;;;;;N;<1;213O
108D090;H26O;0;+;08;;S;08S60;;;;;;;;;;N;<1;491O
108D100;H25O;0;+;08;;S;08S08;;;;;;;;;;N;<1;215O
108D110;H10O;0;+;08;;S;08S70;;;;;;;;;;N;<1;222P
108D1200;H12O;0;+;08;;S;08S72;;;;;;;;;;N;<1;222O
108D1201;H12O;0;+;08;;S;08S75;;;;;08X10;;;;;N;<1;222O
108D1203;H12O;0;+;08;;S;08S44;;;;;08X10;08X20;;;;N;<1;222O
108D15001;H38O;0;+;08;;S;08S53;;;;;;;;;;N;<1;220O
108D15002;H38O;0;+;08;;S;08S73;;;;;;;;;;N;<1;220O
108D15003;H38O;0;+;08;;S;08S75;;;;;;;;;;N;<1;220O
108D15004;H38O;0;+;08;;S;08S44;;;;;08X20;;;;;N;<1;220O
108D15005;H38O;0;+;08;;S;08S76;;;;;-08X12;;;;;N;<1;220O
108D15006;H38O;0;+;08;;S;08S76;;;;;08X15;;;;;N;<1;220O
108D15007;H38O;0;+;08;;S;08S45;;;;;-08X12;08X20;;;;N;<1;220O
108D15008;H38O;0;+;08;;S;08S45;;;;;08X15;08X20;;;;N;<1;220O
108D15009;H38O;0;+;08;;S;08S50;;;;;-08X13;;;;;N;<1;220O
108D15010;H38O;0;+;08;;S;08S50;;;;;08X11;;;;;N;<1;220O
108D15011;H38O;0;+;08;;S;08S40;;;;;-08X13;08X20;;;;N;<1;220O
108D15012;H38O;0;+;08;;S;08S40;;;;;08X11;08X20;;;;N;<1;220O
108D23010;H14O;0;+;08;;S;08S74;;;;;;;;;;N;<1;225O
108D23012;H14O;0;+;08;;S;08S76;;;;;;;;;;N;<1;225O
108D23014;H14O;0;+;08;;S;08S45;;;;;08X20;;;;;N;<1;225O
108D23016;H14O;0;+;08;;S;08S47;;;;;08X21;;;;;N;<1;225O
108D24000;H28O;0;+;08;08P01;S;08S98;;;;;;;;;-;N;<1;224O
108D24010;H29O;0;+;08;;S;08S57;;;;;;;;;;N;<1;228O
108D240101;H49O;0;+;08;;S;08S20;;;;;;;;;;N;<1;234O
108D24011;H30O;0;+;08;;S;08S58;;;;;;;;;;N;<1;229O
108D24012;H30O;0;+;08;;S;08S02;;;;;08X14;;;;;N;<1;229O
108D24013;H30O;0;+;08;;S;08S42;;;;;08X20;;;;;N;<1;229O
108D25100;H27O;0;+;08;;S;08S51;;;;;;;;;;N;<1;223O
108D25101;H27O;0;+;08;;S;08S55;;;;;;;;;;N;<1;223O
108D25200;H28O;0;+;08;;S;08S52;;;;;;;;;;N;<1;224O
108D25201;H28O;0;+;08;;S;08S40;;;;;08X20;;;;;N;<1;224O
108D25202;H28O;0;+;08;;S;08S41;;;;;08X20;;;;;N;<1;224O
108D25203;H28O;0;+;08;;S;08S50;;;;;;;;;;N;<1;224O
108D25204;H28O;0;+;08;;S;08S56;;;;;;;;;;N;<1;224O
108D27100;H44O;0;+;08;;S;08S12;;;;;;;;;;N;<1;227O
108D27101;H44O;0;+;08;;S;08S40;;;;;;;;;;N;<1;227O
108D27102;H44O;0;+;08;;S;08S41;;;;;;;;;;N;<1;227O
108D27103;H44O;0;+;08;;S;08S42;;;;;;;;;;N;<1;227O
108D27104;H44O;0;+;08;;S;08S43;;;;;;;;;;N;<1;227O
108D27105;H44O;0;+;08;;S;08S44;;;;;;;;;;N;<1;227O
108D27106;H44O;0;+;08;;S;08S45;;;;;;;;;;N;<1;227O
