CODE;D_CODE;VARTYPE;VARVAL
Z730;;DGPROP;19X99
Z731;;DGCAT;23M99
Z731;;MDC;23
Z732;;DGCAT;23M99
Z732;;MDC;23
Z733;;DGCAT;23M99
Z733;;MDC;23
Z734;;DGCAT;23M99
Z734;;MDC;23
Z735;;DGCAT;23M99
Z735;;MDC;23
Z736;;DGCAT;23M99
Z736;;MDC;23
Z738;;DGCAT;23M99
Z738;;MDC;23
Z739;;DGCAT;23M99
Z739;;MDC;23
Z740;;DGCAT;23M99
Z740;;MDC;23
Z741;;DGCAT;23M99
Z741;;MDC;23
Z742;;DGCAT;23M99
Z742;;MDC;23
Z743;;DGCAT;23M99
Z743;;MDC;23
Z748;;DGCAT;23M99
Z748;;MDC;23
Z749;;DGCAT;23M99
Z749;;MDC;23
Z750;;DGCAT;23M99
Z750;;MDC;23
Z751;;DGCAT;23M99
Z751;;MDC;23
Z752;;DGCAT;23M99
Z752;;MDC;23
Z753;;DGCAT;23M99
Z753;;MDC;23
Z754;;DGCAT;23M99
Z754;;MDC;23
Z755;;DGCAT;23M99
Z755;;MDC;23
Z758;;DGCAT;23M99
Z758;;MDC;23
Z759;;DGCAT;23M99
Z759;;MDC;23
Z760;;DGCAT;23M99
Z760;;MDC;23
Z761;;DGCAT;23M99
Z761;;MDC;23
Z761;;PDGPRO;00P02
Z762;;DGCAT;23M99
