CODE;D_CODE;VARTYPE;VARVAL
Z311A;;DGCAT;13M99
Z311A;;MDC;13
Z311A;;DGPROP;13X99
Z311B;;DGCAT;13M99
Z311B;;MDC;13
Z311B;;DGPROP;13X99
Z311X;;DGCAT;13M99
Z311X;;MDC;13
Z311X;;DGPROP;13X99
Z312;;DGCAT;13M99
Z312;;MDC;13
Z312;;DGPROP;13X99
Z312A;;DGCAT;13M99
Z312A;;MDC;13
Z312A;;DGPROP;13X99
Z312B;;DGCAT;13M99
Z312B;;MDC;13
Z312B;;DGPROP;13X99
Z312C;;DGCAT;13M99
Z312C;;MDC;13
Z312C;;DGPROP;13X99
Z312X;;DGCAT;13M99
Z312X;;MDC;13
Z312X;;DGPROP;13X99
Z313;;DGCAT;98M99
Z313;;MDC;98
Z313;;DGPROP;98X99
Z314;;DGCAT;98M99
Z314;;MDC;98
Z314;;DGPROP;98X99
Z315;;DGCAT;23M99
Z315;;MDC;23
Z316;;DGCAT;98M99
Z316;;MDC;98
Z316;;DGPROP;98X99
Z318;;DGCAT;98M99
Z318;;MDC;98
Z318;;DGPROP;98X99
Z318A;;DGCAT;98M99
Z318A;;MDC;98
Z318A;;DGPROP;98X99
Z318B;;DGCAT;98M99
Z318B;;MDC;98
Z318B;;DGPROP;98X99
Z318W;;DGCAT;98M99
Z318W;;MDC;98
Z318W;;DGPROP;98X99
Z319;;DGCAT;98M99
Z319;;MDC;98
Z319;;DGPROP;98X99
Z320;;DGCAT;23M99
Z320;;MDC;23
Z321;;DGCAT;14M99
Z321;;MDC;14
Z321;;DGPROP;14X99
Z33;;DGCAT;14M99
Z33;;MDC;14
Z33;;DGPROP;14X99
Z339;;DGCAT;14M99
Z339;;MDC;14
Z339;;DGPROP;14X99
Z340;;DGCAT;14M99
Z340;;MDC;14
Z340;;DGPROP;14X99
Z348;;DGCAT;14M99
Z348;;MDC;14
Z348;;DGPROP;14X99
Z349;;DGCAT;14M99
Z349;;MDC;14
Z349;;DGPROP;14X99
Z350;;DGCAT;14M99
Z350;;MDC;14
Z350;;DGPROP;14X99
Z351;;DGCAT;14M99
Z351;;MDC;14
Z351;;DGPROP;14X99
Z352;;DGCAT;14M99
Z352;;MDC;14
Z352;;DGPROP;14X99
Z353;;DGCAT;14M99
Z353;;MDC;14
Z353;;DGPROP;14X99
Z354;;DGCAT;14M99
Z354;;MDC;14
Z354;;DGPROP;14X99
Z355;;DGCAT;14M99
Z355;;MDC;14
Z355;;DGPROP;14X99
Z356;;DGCAT;14M99
Z356;;MDC;14
Z356;;DGPROP;14X99
Z357;;COMPL;14C21
Z357;;DGCAT;14M99
Z357;;MDC;14
Z357;;DGPROP;14X99
Z358;;COMPL;14C21
Z358;;DGCAT;14M99
Z358;;MDC;14
Z358;;DGPROP;14X99
Z359;;COMPL;14C21
Z359;;DGCAT;14M99
Z359;;MDC;14
Z359;;DGPROP;14X99
Z360;;DGCAT;14M99
Z360;;MDC;14
Z360;;DGPROP;14X99
Z361;;DGCAT;14M99
Z361;;MDC;14
Z361;;DGPROP;14X99
Z362;;DGCAT;14M99
Z362;;MDC;14
Z362;;DGPROP;14X99
Z363;;DGCAT;14M99
Z363;;MDC;14
Z363;;DGPROP;14X99
Z364;;DGCAT;14M99
Z364;;MDC;14
Z364;;DGPROP;14X99
Z365;;DGCAT;14M99
Z365;;MDC;14
Z365;;DGPROP;14X99
Z368;;DGCAT;14M99
Z368;;MDC;14
Z368;;DGPROP;14X99
Z369;;DGCAT;14M99
Z369;;MDC;14
Z369;;DGPROP;14X99
Z370;;DGCAT;14M99
Z370;;MDC;14
Z370;;DGPROP;14X99
Z370;;DGPROP;14X04
Z370A;;DGCAT;14M99
Z370A;;MDC;14
Z370A;;DGPROP;14X99
Z370A;;DGPROP;14X04
Z370B;;DGCAT;14M99
Z370B;;MDC;14
Z370B;;DGPROP;14X99
Z370B;;DGPROP;14X04
Z370C;;DGCAT;14M99
Z370C;;MDC;14
Z370C;;DGPROP;14X99
Z370C;;DGPROP;14X04
Z371;;DGCAT;14M99
Z371;;MDC;14
Z371;;DGPROP;14X99
Z371;;DGPROP;14X04
Z371A;;DGCAT;14M99
Z371A;;MDC;14
Z371A;;DGPROP;14X99
Z371A;;DGPROP;14X04
Z371B;;DGCAT;14M99
Z371B;;MDC;14
Z371B;;DGPROP;14X99
Z371B;;DGPROP;14X04
Z371C;;DGCAT;14M99
Z371C;;MDC;14
Z371C;;DGPROP;14X99
Z371C;;DGPROP;14X04
Z372;;DGCAT;14M99
Z372;;MDC;14
Z372;;DGPROP;14X99
Z372;;DGPROP;14X04
Z373;;DGCAT;14M99
Z373;;MDC;14
Z373;;DGPROP;14X99
Z373;;DGPROP;14X04
Z374;;DGCAT;14M99
Z374;;MDC;14
Z374;;DGPROP;14X99
Z374;;DGPROP;14X04
Z375;;DGCAT;14M99
Z375;;MDC;14
Z375;;DGPROP;14X99
Z375;;DGPROP;14X04
Z376;;DGCAT;14M99
Z376;;MDC;14
Z376;;DGPROP;14X99
Z376;;DGPROP;14X04
Z377;;DGCAT;14M99
Z377;;MDC;14
Z377;;DGPROP;14X99
Z377;;DGPROP;14X04
Z379;;DGCAT;14M99
Z379;;MDC;14
Z379;;DGPROP;14X99
Z379;;DGPROP;14X04
Z380;;DGCAT;15M02
Z380;;MDC;15
Z380;;DGPROP;15X99
Z381;;DGCAT;15M02
Z381;;MDC;15
Z381;;DGPROP;15X99
Z382;;DGCAT;15M02
Z382;;MDC;15
Z382;;DGPROP;15X99
Z383;;DGCAT;15M02
