2012/05/02;"+A5102";"";F;T;"";"";"DGPROP";"23F11";F
2012/05/02;"+A5103";"";F;T;"";"";"DGCAT";"99M00";F
2012/05/02;"+A5103";"";F;T;"";"";"DGPROP";"23F11";F
2012/05/02;"+A5104";"";F;T;"";"";"DGCAT";"99M00";F
2012/05/02;"+A5104";"";F;T;"";"";"DGPROP";"23F11";F
2007/04/26;"+A5200";"";F;T;"UA5200";"";"DGCAT";"99M00";F
2007/04/26;"+A5201";"";F;T;"UA5201";"";"DGCAT";"99M00";F
2007/04/26;"+A5202";"";F;T;"UA5202";"";"DGCAT";"99M00";F
2007/04/20;"+A5202";"";F;T;"UA5202";"";"DGPROP";"23F11";F
2007/04/26;"+A5203";"";F;T;"UA5203";"";"DGCAT";"99M00";F
2007/04/20;"+A5203";"";F;T;"UA5203";"";"DGPROP";"23F11";F
2007/04/26;"+A5204";"";F;T;"UA5204";"";"DGCAT";"99M00";F
2007/04/20;"+A5204";"";F;T;"UA5204";"";"DGPROP";"23F11";F
2007/05/03;"+A5250";"";F;T;"UA5250";"";"DGCAT";"99M00";F
2007/04/26;"+A5251";"";F;T;"UA5251";"";"DGCAT";"99M00";F
2007/04/26;"+A5252";"";F;T;"UA5252";"";"DGCAT";"99M00";F
2007/04/22;"+A5252";"";F;T;"UA5252";"";"DGPROP";"23F41";F
2007/04/26;"+A5253";"";F;T;"UA5253";"";"DGCAT";"99M00";F
2007/04/22;"+A5253";"";F;T;"UA5253";"";"DGPROP";"23F41";F
2007/04/26;"+A5254";"";F;T;"UA5254";"";"DGCAT";"99M00";F
2007/04/22;"+A5254";"";F;T;"UA5254";"";"DGPROP";"23F41";F
2007/04/26;"+A5300";"";F;T;"UA5300";"";"DGCAT";"99M00";F
2007/04/26;"+A5301";"";F;T;"UA5301";"";"DGCAT";"99M00";F
2007/04/27;"+A5302";"";F;T;"UA5302";"";"DGCAT";"99M00";F
2007/04/20;"+A5302";"";F;T;"UA5302";"";"DGPROP";"23F31";F
2007/04/27;"+A5303";"";F;T;"UA5303";"";"DGCAT";"99M00";F
2007/04/22;"+A5303";"";F;T;"UA5303";"";"DGPROP";"23F31";F
2007/04/22;"+A5303";"";F;T;"UA5303";"";"DGPROP";"23F32";F
2007/04/27;"+A5304";"";F;T;"UA5304";"";"DGCAT";"99M00";F
2007/04/22;"+A5304";"";F;T;"UA5304";"";"DGPROP";"23F31";F
2007/04/22;"+A5304";"";F;T;"UA5304";"";"DGPROP";"23F32";F
2012/05/02;"+A53A0";"";F;T;"";"";"DGCAT";"99M00";F
2012/05/02;"+A53A1";"";F;T;"";"";"DGCAT";"99M00";F
2012/05/02;"+A53A2";"";F;T;"";"";"DGCAT";"99M00";F
2012/05/02;"+A53A2";"";F;T;"";"";"DGPROP";"23F31";F
2012/05/02;"+A53A3";"";F;T;"";"";"DGCAT";"99M00";F
2012/05/02;"+A53A3";"";F;T;"";"";"DGPROP";"23F31";F
2012/05/02;"+A53A3";"";F;T;"";"";"DGPROP";"23F32";F
2012/05/02;"+A53A4";"";F;T;"";"";"DGCAT";"99M00";F
2012/05/02;"+A53A4";"";F;T;"";"";"DGPROP";"23F31";F
2012/05/02;"+A53A4";"";F;T;"";"";"DGPROP";"23F32";F
2012/05/02;"+A53B0";"";F;T;"";"";"DGCAT";"99M00";F
2012/05/02;"+A53B1";"";F;T;"";"";"DGCAT";"99M00";F
2012/05/02;"+A53B2";"";F;T;"";"";"DGCAT";"99M00";F
2012/05/02;"+A53B2";"";F;T;"";"";"DGPROP";"23F41";F
2012/05/02;"+A53B3";"";F;T;"";"";"DGCAT";"99M00";F
2012/05/02;"+A53B3";"";F;T;"";"";"DGPROP";"23F41";F
2012/05/02;"+A53B4";"";F;T;"";"";"DGCAT";"99M00";F
2012/05/02;"+A53B4";"";F;T;"";"";"DGPROP";"23F41";F
2007/04/26;"+A5400";"";F;T;"UA5400";"";"DGCAT";"99M00";F
2007/04/26;"+A5401";"";F;T;"UA5401";"";"DGCAT";"99M00";F
2007/04/26;"+A5402";"";F;T;"UA5402";"";"DGCAT";"99M00";F
2007/04/26;"+A5403";"";F;T;"UA5403";"";"DGCAT";"99M00";F
2007/04/26;"+A5404";"";F;T;"UA5404";"";"DGCAT";"99M00";F
2007/04/26;"+A5500";"";F;T;"UA5500";"";"DGCAT";"99M00";F
2007/04/26;"+A5501";"";F;T;"UA5501";"";"DGCAT";"99M00";F
2007/04/26;"+A5502";"";F;T;"UA5502";"";"DGCAT";"99M00";F
